OBJECTID,FACILITYID,FIPSCODE,GEOID,CENSUSTRACT,GEOGRAPHICAREANAME,POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,EQUITYSCORERACE,INCMEDIANINCOME,EQUITYSCOREINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANBLACK,INCMEDIANASIAN,INCMEDIANOTHER,EQUITYSCORECOMBINED,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EQUITYSCORELANG,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO,EQUITYSCOREEDU,LASTUPDATESOURCE,LASTUPDATE,ENTERPRISEID,INSANJOSE,Shape_Length,Shape_Area
1,249,06085507807,1400000US06085507807,5078.07,"Census Tract 5078.07, Santa Clara County, California",3432,1093,95,0.028,546,0.159,0,0,2641,0.77,150,0.044,2886,0.841,4,250000,1,,191250,,250000,,5,3272,324,0.099,0,0,21,0.065,285,0.88,18,0.056,1,2246,2,0.001,1,ACSDT5Y2022,2024/04/23 16:27:27+00,REF-CDTR-0000000249,Partial,16070.6793037614,10731074.5705656
2,179,06085505012,1400000US06085505012,5050.12,"Census Tract 5050.12, Santa Clara County, California",2879,1456,167,0.058,883,0.307,79,0.027,1666,0.579,84,0.029,1996,0.693,2,201190,1,173262,223382,,223512,173445,3,2691,555,0.206,24,0.043,70,0.126,451,0.813,10,0.018,3,2367,10,0.004,1,ACSDT5Y2022,2024/04/23 16:26:58+00,REF-CDTR-0000000179,Yes,20015.7875675989,11438861.6361989
3,341,06085511910,1400000US06085511910,5119.10,"Census Tract 5119.10, Santa Clara County, California",3051,1082,162,0.053,1934,0.634,0,0,716,0.235,239,0.078,1117,0.366,1,250000,1,,250000,,250000,250000,2,2994,128,0.043,10,0.078,39,0.305,79,0.617,0,0,1,2312,14,0.006,1,ACSDT5Y2022,2024/04/23 16:28:15+00,REF-CDTR-0000000341,Yes,25606.5590244263,24421079.0917197
4,348,06085511917,1400000US06085511917,5119.17,"Census Tract 5119.17, Santa Clara County, California",4220,1575,42,0.01,1630,0.386,0,0,2427,0.575,121,0.029,2590,0.614,2,239073,1,,188438,,240658,,3,4175,619,0.148,0,0,75,0.121,484,0.782,60,0.097,2,3060,26,0.008,1,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000348,Yes,26970.9591676005,30775498.6016403
5,46,06085502903,1400000US06085502903,5029.03,"Census Tract 5029.03, Santa Clara County, California",5270,1881,885,0.168,3085,0.585,0,0,1005,0.191,295,0.056,2185,0.415,1,219107,1,221154,208864,,241250,412829,2,4775,249,0.052,57,0.229,36,0.145,156,0.627,0,0,1,3728,33,0.009,1,ACSDT5Y2022,2024/04/23 16:25:52+00,REF-CDTR-0000000046,Yes,19907.6787797619,20265076.1562266
6,180,06085505013,1400000US06085505013,5050.13,"Census Tract 5050.13, Santa Clara County, California",5965,2680,871,0.146,1026,0.172,25,0.004,3891,0.652,152,0.025,4939,0.828,3,185227,1,119872,133913,,233018,250032,4,5574,574,0.103,152,0.265,178,0.31,203,0.354,41,0.071,1,4899,49,0.01,1,ACSDT5Y2022,2024/04/23 16:26:59+00,REF-CDTR-0000000180,Yes,10392.582885558,6534699.42035029
7,345,06085511914,1400000US06085511914,5119.14,"Census Tract 5119.14, Santa Clara County, California",6327,1967,365,0.058,3350,0.529,282,0.045,1593,0.252,737,0.116,2977,0.471,1,247039,1,250000,215054,,250000,250000,2,5969,511,0.086,40,0.078,192,0.376,189,0.37,90,0.176,1,4196,41,0.01,1,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000345,Yes,25371.7338995493,29886305.9164048
8,175,06085505006,1400000US06085505006,5050.06,"Census Tract 5050.06, Santa Clara County, California",11716,5586,578,0.049,1924,0.164,104,0.009,8919,0.761,191,0.016,9792,0.836,3,205610,1,,221188,,210641,176481,4,10600,1067,0.101,109,0.102,327,0.306,631,0.591,0,0,1,9203,94,0.01,1,ACSDT5Y2022,2024/04/23 16:26:56+00,REF-CDTR-0000000175,Yes,65644.6235979737,153359059.372423
9,228,06085506804,1400000US06085506804,5068.04,"Census Tract 5068.04, Santa Clara County, California",4602,1587,327,0.071,2827,0.614,42,0.009,994,0.216,412,0.09,1775,0.386,1,216938,1,,207778,,250000,250000,2,4452,364,0.082,67,0.184,146,0.401,151,0.415,0,0,1,3109,33,0.011,1,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000228,Yes,20835.4550022865,16597838.8203835
10,344,06085511913,1400000US06085511913,5119.13,"Census Tract 5119.13, Santa Clara County, California",4624,1432,612,0.132,2778,0.601,18,0.004,872,0.189,344,0.074,1846,0.399,1,250000,1,250000,250000,,250000,193884,2,4464,303,0.068,34,0.112,86,0.284,157,0.518,26,0.086,1,3018,36,0.012,1,ACSDT5Y2022,2024/04/23 16:28:15+00,REF-CDTR-0000000344,Yes,20210.5050992473,20706398.7423438
