OBJECTID,FACILITYID,INTID,CREATIONDATE,CREATOR,PROJECTNAME,PROJECTOBJECTID,PROJECTTYPE,ADDRESS,PROJECTSTATUS,LASTUPDATE,NOTES,SHAPE_Length,SHAPE_Area,PARCELSNUM,FILENUM,PROJECTNOTES,CONTACTNAME,CONTACTEMAIL,DEVELOPERNAME,RSNNUMBER,MERGENO,CONTACT,BUILDINGHEIGHT
601,102,102,2021/11/16 09:45:53+00,OED,Westbank Terraine,25,Housing,323 Terraine St.,Planning Review,2023/05/18 08:45:09+00,,1263.81195922049,93181.8170901572,"44353, 1000012570, 1000012569, 44355",SP21-045,"Construction of a 319-unit residential building with 12,623 sf of retail space",,,Laura Meiners,1950336,9,,201
602,103,103,2021/11/16 09:45:53+00,OED,Gateway Tower,22,Housing,455-493 S. First St northeast corner of S. Market and E. William ,Planning Approved,2023/05/18 08:45:09+00,,543.060078199858,16882.3973600004,"57419, 57420",HP15-003,"Construction of a 25-story building with 300 residential units and 4,850 sf ground floor retail",,,The Core Companies,1640254,7,,247
603,104,104,2021/11/16 09:45:53+00,OED,200 Park,17,Office,200 Park Ave,Under Construction,2023/05/18 08:45:09+00,,1012.54496838271,67044.7256070386,"44838,44839",H18-045,Construction of a 1.1 million sf office tower,,,Jay Paul,1783658,99,Cassandra Van Der Zweep (Cassandra.VanDerZweep@sanjoseca.gov),300
604,105,105,2021/11/16 09:45:53+00,OED,Little Portugal Gateway,44,Mixed Use,1663 Alum Rock Ave,Planning Approved,2023/05/18 08:45:09+00,,977.108083760013,53672.0113749965,"1000021803, 70583, 1000021801, 1000021802, 70583, 70581, 70580",PDC18-021 & PD18-016,"Planned Development Rezoning and PD Permit to allow a new 6-story building with 121 residential units and 14,170 sf retail",,,Silicon Sage Builders,1771124,56,Maira Blanco (Maira.Blanco@sanjoseca.gov),
605,106,106,2021/11/16 09:45:53+00,OED,Western Digital Campus Buildings,56,Office,5601 Great Oaks Parkway ,Planning Review,2023/05/18 08:45:09+00,,14152.3756732698,6890394.80888585,1000022340,PDA14-005-02,"Construction of a 580,000sqft office building and a cafeteria/amenities building",,,Western Digital,1763222,10,Angela Wang (Angela.Wang@sanjoseca.gov),
606,107,107,2021/11/16 09:45:53+00,OED,Cambrian Plaza,37,Mixed Use,14200 Union Avenue,Planning Approved,2023/05/18 08:45:09+00,,3652.87833559825,724196.746501334,79223,PDC17-040,"Annexation and prezoning to PDC for mixed use with potential for up to 238 hotel rooms, up to 150,000 sf office, up to 115,000 sf retail, up to 280 attached multifamily residential units and 84 townhomes and up to 130,000 sf of convalescent hospital.",,,Weingarten Realty Investors,1733439,28,Jennifer Piozet (Jennifer.Piozet@sanjoseca.gov),
608,109,109,2021/11/16 09:45:53+00,OED,Blossom Hill,35,Housing,397 Blossom Hill Road,Under Construction,2023/05/18 08:45:09+00,PW&Building Review,1178.44088836712,86447.3812691922,300073,CP18-022,"Construction of 147 affordable housing units and approximately 16,000 sf commercial",,,Charities Housing,1770533,93,Ruth Cueto (Ruth.Cueto@sanjoseca.gov),
609,110,110,2021/11/16 09:45:53+00,OED,The Kelsey,7,Housing,447 North 1st St,Pre-Construction Review,2023/05/18 08:45:09+00,Building/PW review,468.578259514714,13636.1026333182,"44183, 44184",H20-005,"Construction of a six-story co-living, mixed income building with 115 units, including 28 apartments dedicated to the developmentally disabled. ",,,The Kelsey,1813102,85,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),
610,111,111,2021/11/16 09:45:53+00,OED,Avalon Bay West,39,Housing,700 Saratoga Ave,Planning Approved,2023/05/18 08:45:09+00,PW & Building Review,4064.0062780552,397536.065839967,"170371, 1001715",PDC17-056,"Planned Development Zoning and PD Permit to demo existing residential ammenities and construct 300 residential units and 17,800 sf commercial on a 20 acre site",,,Avalon Bay Communities,1745346,82,Cassandra Van Der Zweep (Cassandra.VanDerZweep@sanjoseca.gov),
611,112,112,2021/11/16 09:45:53+00,OED,Park View Towers,23,Housing,252 N. 1st Street,Planning Approved,2023/05/18 08:45:09+00,,990.178378420618,66998.0536500473,"569713, 60223",HA14-009-02,"Construction of a two-towered (18- and 12-stories) residential building with 215 residential units, 5 townhomes, and 18,537 sf ground floor retail",,,Z&L Properties,1766806,68,,283
612,113,113,2021/11/16 09:45:53+00,OED,West San Carlos Supportive Housing,62,Housing,750 West San Carlos,Under Construction,2023/05/18 08:45:09+00,Building/PW Review,780.346199463624,21197.5863825118,55632,H19-028,Construction of a seven-story building with 80 residential units,,,UrbanCo Tamien LLC,1687948,86,Ruth Cueto (Ruth.Cueto@sanjoseca.gov),
613,114,114,2021/11/16 09:45:53+00,OED,CityView Plaza,75,Office,150 Almaden Blvd.,Pre-Construction Review,2023/05/18 08:45:09+00,,2562.80407834929,332720.44411256,"44824, 44822, 44826, 44821, 44820, 44823,",H19-016,Construction of an approximately 3.4 million sf office development.,Cassandra van der Zweep,Cassandra.vanderzweep@sanjoseca.gov,Jay Paul Co.,1783658,76,Other,293
615,116,116,2021/11/16 09:45:53+00,OED,Avenues School,5,Additional,529 Race St,Pre-Construction Review,2023/05/18 08:45:09+00,,3182.17234331995,515542.1889723,"55441, 55442, 55443, 55445, 1001622, 55462, 55464, 55465",C19-013,"Rezoning from IP to CIC and construction of 354,332 sf in seven buildings for a school",,,Avenues Silicon Valley LLC,1809203,72,Maira Blanco (Maira.Blanco@sanjoseca.gov),
616,117,117,2021/11/16 09:45:53+00,OED,South Almaden Offices,18,Office,Woz Way and Almaden,Planning Approved,2023/05/18 08:45:09+00,,2479.45959769273,206576.199349268,"1000003328, 1000003331, 1000003333, 1000003334, 1000003335, 1000003337, 1000003338, 1000003339",SP20-005,Construction of a 15-17 story buiding with up to 1.8 million square feet of commercial office and parking on a 3.67-gross-acre site,,,Boston Properties,1799253,44,Angela Wang (Angela.Wang@sanjoseca.gov),282
618,119,119,2021/11/16 09:45:53+00,OED,259 Meridian Ave,31,Housing,259 Meridian,Planning Approved,2023/05/18 08:45:09+00,,1026.97791552481,56521.07235066,345869,PDC18-016 & PD19-011,Construction of 241 residential units,,,Holmes Business LLC,1809005,59,Tracy Tam (Tracy.Tam@sanjoseca.gov),
619,120,120,2021/11/16 09:45:53+00,OED,Stockton Hotel,46,Hotel,292 Stockton,Pre-Construction Review,2023/05/18 08:45:09+00,Building Review,958.487439110961,38859.5635767935,44417,C19-039 & SP19-063,Construction of a nine-story hotel with 311 hotel units and 19 residential units,,,Diridon Hospitality,1776322,81,Angela Wang (Angela.Wang@sanjoseca.gov),100
620,121,121,2021/11/16 09:45:53+00,OED,Destination DIRIDON,50,Mixed Use,"W. Santa Clara at 87, adjacent to Guadalupe River Trail",Planning Approved,2023/05/31 22:38:01+00,,3621.7285171217,356607.834691303,"44688, 1000002155, 44689, 44690, 44691, 44692,44693,44694,44695,1000002139, 1000002144, 1000002141","PDC15-051, PD15-061","Mixed use development with two office buildings (12 and 13-stories), a 10-story residential building with 325 apts and 30,892 retail throughout the site",,,Trammell Crow,1675092,65,John Tu (John.Tu@sanjoseca.gov),226
622,123,123,2021/11/16 09:45:53+00,OED,Page Street,61,Housing,329 Page St,Under Construction,2023/05/18 08:45:09+00,,722.050953478519,30511.6921578764,375760,SP17-037,Construction of a six-story building with 82 residential units,,,Charities Housing,1720323,907,,
624,125,125,2021/11/16 09:45:53+00,OED,Adobe,14,Office,333 W. San Fernando ,Under Construction,2023/05/18 08:45:09+00,,1742.78420683378,109027.829521293,44762,H18-037 ,"Construction of 1,329,231 sf 18 story building",,,Adobe,1777746,902,John Tu (John.Tu@sanjoseca.gov),241
